Functional ID,Title,Type,Module,Epic,Feature,Stories,Segment ,Description,Tags and Aliases,Roles,isFocus,isCrit,Responsible (QA),Responsible (Dev),Accountable,Consulted,Informed,Automation Status,Maturity,Container,Database,Subsystems involved,External Services
front,[Module]: FRONT,Module,FRONT,──┐,,,,,,,FALSE,FALSE,,,,,,,,,,,
splash_page,[Epic]: Slash Page,Epic,FRONT,Slash Page,──┐ ,,UX /CX,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.splash_page,[Feature]: Splash Page,Feature ,FRONT,Slash Page,Slash Page display,,UI,Перекрытие контента по любому роуту сплешом,,,FALSE,FALSE,Никита,,,,,,,,,,
front.splash_page.cookies,[Feature]: Age cookies,Feature ,FRONT,Slash Page,Age cookies,,Perfom,Отображение контента и корректных ответов при наличии куки Age = true,,,FALSE,FALSE,Никита,,,,,,,,,,
age_verif,[Epic]: Age Verification,Epic,FRONT,age,──┐,,UX /CX,,,,FALSE,FALSE,Никита,,,,,,,,,,
front.soft_page,[Feature]: Soft Page,Feature ,FRONT,age,soft_page,,UX /CX,Подмена контента на Soft режим для Free,,,FALSE,FALSE,Никита,,,,,,,,,,
front.pages.soft_page,[Page]: Soft Page,Page,FRONT,age,soft_page UI,,UI,Корректная вёрстка Soft Page,,,FALSE,FALSE,Никита,,,,,,,,,,
front.age_verif,[Feature]: Age Verification,Feature ,FRONT,age,age-verification,,UX /CX,Выход на верификацию для Active,,,FALSE,FALSE,Никита,,,,,,,,,,
age_verif.yoti,Service: Yoti Integration,Service ,YOTI,age,Интеграция с Yoti,,Integration,Интеграция с Yoti,,,FALSE,FALSE,Никита,,,,,,,,,,
payments,[Epic]: Payments,Epic,FRONT,Payments,──┐,,,,front.payments,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.payments.premium,[Feature]: Join Now - Premium,Feature ,FRONT,Payments,Join now - premium LP,,UX /CX,Функционал отображения прайсов мемберам по ожидаемой логике и настрйокам,"Sale_event, price_groupe, special_price",,FALSE,FALSE,Анатолий,,,,,,,,,,
front.pages.premium.UI,[Page]: Premium Landing Page (UI),Page,FRONT,Payments,PremiumLP,,UI,Соответствие вёрстки макету,Join now,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.pages.premium,[Page]: Premium Landing Page,Feature ,FRONT,Payments,PremiumLP,,UX /CX,Соответствие поведение ожидаемому,Join now,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.payments.buy_tokens.UI,[Page]: Buy Tokens (UI),Page,FRONT,Payments,buy tokens,,UI,Соответствие вёрстки макету,,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.payments.buy_tokens,[Feature]: Buy Tokens,Feature ,FRONT,Payments,buy tokens,,UX /CX,Соответствие поведение ожидаемому,,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.pages.main,[Epic]: Main Page,Epic,FRONT,Main Page,──┐,,,,,,FALSE,FALSE,Данил,,,,,,,,,,
front.pages.main.UI,[Page]: Main Page (UI),Page,FRONT,Main Page,mainPage - Вёрстка главной,,UI,,,,FALSE,FALSE,Данил,,,,,,,,,,
front.pages.main.UX,[Feature]: Main Page Content,Feature ,FRONT,Main Page,mainPage - Контент на главной,,UX /CX,Авто модерацияя контента для главных блоков согласно настройкам в админке,,,FALSE,FALSE,Данил,,,,,,,,,,
front.authorization,[Epic]: Auth,Epic,FRONT,Auth,──┐,,UX /CX,User Authentication & Authorization,,,FALSE,FALSE,Степан,,,,,,,,,,
front.singup,[Feature]: Free Sign Up,Feature ,FRONT,Auth,Free Sing Up,,UX /CX,,,,FALSE,FALSE,Анатолий,,,,,,,,,,
front.auth.member.email,[Feature]: Auth Member by Email,Feature ,FRONT,Auth,авторизация member по Email,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.auth.member.username,[Feature]: Auth Member by Username,Feature ,FRONT,Auth,авторизация member по User name,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.auth.refresh_token,[Feature]: Refresh Token,Feature ,FRONT,Auth,Refresh token,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
front.auth.logout,[Feature]: Log Out,Feature ,FRONT,Auth,Log Out,,API,,,,FALSE,FALSE,Степан,,,,,,,,,,
